Cd,Family,Genus,Species
NEPHPA,Sapindaceae,Nephelium,pallens
DIOSP1,Ebenaceae,Diospyros,penangiana
BACCR1,Euphorbiaceae,Baccaurea,ramiflora
SYMPRU,Symplocaceae,Symplocos,rubiginosa
XANTSC,Polygalaceae,Xanthophyllum,scortechinii
TEIJSI,Verbenaceae,Teijsmanniodendron,simplicifolium
ORANSY,Palmae,Orania,sylvicola
SINDWA,Leguminosae: Caesalpinia-Group,Sindora,wallichii
PAR1CO,Chrysobalanaceae,Parinari,costata
TRI3LO,Euphorbiaceae,Trigonostemon,longifolius
PALAOB,Sapotaceae,Palaquium,obovatum
MANGRU,Anacardiaceae,Mangifera,rufocostata
ELAEST,Elaeocarpaceae,Elaeocarpus,stipularis
OSMEMA,Flacourtiaceae,Osmelia,maingayi
CASTNE,Fagaceae,Castanopsis,nepheliodes
DYSOS1,Meliaceae,Dysoxylum,species 1
GALEMA,Pandaceae,Galearia,maingayi
MYRIM3,Myristicaceae,Myristica,malaccensis
XEROS1,Sapindaceae,Xerospermum,sp 1
PAR6UR,Chrysobalanaceae,Parastemon,urophyllus
LITSWR,Lauraceae,Litsea,wrayi
GREWAN,Tiliaceae,Microcos ,antidesmaefolia
LITSEL,Lauraceae,Litsea,elliptica
PLATLA,Icacinaceae,Platea,latifolia
PHAECR,Annonaceae,Phaeanthus,crassipetalus
LITSG2,Lauraceae,Litsea,grandis
BACCKU,Euphorbiaceae,Baccaurea,kunstleri
BEILKU,Lauraceae,Beilschmiedia,kunstleri
ALSENI,Lauraceae,Alseodaphne,nigrescens
SYMPOP,Symplocaceae,Symplocos,ophirensis
EUGEPO,Myrtaceae,Eugenia,polyantha
CHISSA,Meliaceae,Chisocheton,sarawakanus
TERMBE,Combretaceae,Terminalia,bellirica
STREEL,Moraceae,Streblus,elongatus
PALAGU,Sapotaceae,Palaquium,gutta
STERMA,Sterculiaceae,Sterculia ,macrophylla
GANUMO,Sapotaceae,Ganua,motleyana
DRYPS1,Euphorbiaceae,Drypetes,species 1
MILLS1,Leguminosae: Phaseolus-Group,Millettia,species 1
AGLAS5,Meliaceae,Aglaia,species 5
EUGESP,Myrtaceae,Eugenia,spicata
TARECO,Rubiaceae,Tarenna,stellulata
TERMSU,Combretaceae,Terminalia,subspathulata
KNEMSU,Myristicaceae,Knema,sumatrana
MASTTR,Cornaceae,Mastixia,trichotoma
PALACL,Sapotaceae,Palaquium,clarkeanum
APORCO,Euphorbiaceae,Aporusa,confusa
BARRFU,Lecythidaceae,Barringtonia,fusiformis
CARYMI,Palmae,Caryota,mitis
CLERNU,Verbenaceae,Clerodendrum,nutans
STROJA,Olacaceae,Strombosia,javanica
PHOLMA,Palmae,Pholidocarpus,macrocarpus
AUSTNI,Euphorbiaceae,Austrobuxus,nitidus
ORMOPE,Leguminosae: Phaseolus-Group,Ormosia,penangensis
PINARI,Palmae,Pinanga,ridleyana
CALOSO,Clusiaceae,Calophyllum,soulattri
PITHSP,Leguminosae: Mimosa-Group,Archidendron,splendens
PRUNST,Rosaceae,Prunus,stipulaceum
DIPTSU,Dipterocarpaceae,Dipterocarpus,sublamellatus
EHRETI,Boraginaceae,Ehretia,timorensis
NEOLZE,Lauraceae,Neolitsea,zeylanica
LITSER,Lauraceae,Litsea,erectinervia
THOTGR,Aristolochiaceae,Thottea,grandiflora
ALANGR,Alangiaceae,Alangium,griffithii
CANALP,Burseraceae,Canarium,littorale var. purpurescens
TABEMA,Apocynaceae,Tabernaemontana,malaccensis
TERMPH,Combretaceae,Terminalia,phellocarpa
ARALPI,Araliaceae,Aralidium,pinnatifidum
CELTRI,Ulmaceae,Celtis,rigescens
GARCS4,Clusiaceae,Garcinia,species 4
LITSTO,Lauraceae,Litsea,tomentosa
ANT1VE,Euphorbiaceae,Antidesma,velutinosum
DYSOAC,Meliaceae,Dysoxylum,acutangulum
ARDICO,Myrsinaceae,Ardisia,colorata
DYSOCO,Meliaceae,Dysoxylum,costulatum
HARPCU,Sapindaceae,Harpullia,cupanioides
DIOSDA,Ebenaceae,Diospyros,daemona
NEOUFO,Annonaceae,Neouvaria,foetida
SEMERU,Anacardiaceae,Semecarpus,hairy
